Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
80,16,1,53,0,Some Random Commen with Id 80
81,16,1,51,6,Some Random Commen with Id 81
82,16,1,134,9,Some Random Commen with Id 82
83,16,1,86,9,Some Random Commen with Id 83
84,16,1,143,7,Some Random Commen with Id 84
85,16,1,3,6,Some Random Commen with Id 85
86,16,1,2,0,Some Random Commen with Id 86
87,17,0,120,7,Some Random Commen with Id 87
88,17,0,35,5,Some Random Commen with Id 88
89,17,0,20,1,Some Random Commen with Id 89
90,18,8,149,0,Some Random Commen with Id 90
91,18,8,126,1,Some Random Commen with Id 91
92,18,8,75,0,Some Random Commen with Id 92
93,18,8,100,6,Some Random Commen with Id 93
94,19,9,72,3,Some Random Commen with Id 94
95,19,9,125,2,Some Random Commen with Id 95
96,19,9,22,8,Some Random Commen with Id 96
97,20,1,184,9,Some Random Commen with Id 97
98,20,1,148,9,Some Random Commen with Id 98
99,20,1,123,7,Some Random Commen with Id 99
100,20,1,86,4,Some Random Commen with Id 100
101,20,1,46,3,Some Random Commen with Id 101
102,20,1,113,1,Some Random Commen with Id 102
103,20,1,138,4,Some Random Commen with Id 103
104,20,1,80,6,Some Random Commen with Id 104
105,20,1,85,9,Some Random Commen with Id 105
106,21,7,1,1,Some Random Commen with Id 106
107,21,7,112,1,Some Random Commen with Id 107
108,21,7,49,9,Some Random Commen with Id 108
109,21,7,121,2,Some Random Commen with Id 109
110,21,7,44,6,Some Random Commen with Id 110
111,21,7,70,6,Some Random Commen with Id 111
112,21,7,66,1,Some Random Commen with Id 112
113,22,9,91,8,Some Random Commen with Id 113
114,22,9,52,0,Some Random Commen with Id 114
115,22,9,7,1,Some Random Commen with Id 115
116,22,9,116,6,Some Random Commen with Id 116
117,23,6,165,5,Some Random Commen with Id 117
118,23,6,68,4,Some Random Commen with Id 118
119,23,6,154,0,Some Random Commen with Id 119
120,23,6,86,4,Some Random Commen with Id 120
121,23,6,9,5,Some Random Commen with Id 121
122,23,6,60,6,Some Random Commen with Id 122
123,23,6,148,3,Some Random Commen with Id 123
124,24,3,70,8,Some Random Commen with Id 124
125,24,3,70,4,Some Random Commen with Id 125
126,24,3,11,7,Some Random Commen with Id 126
127,24,3,150,3,Some Random Commen with Id 127
128,24,3,88,1,Some Random Commen with Id 128
129,24,3,179,9,Some Random Commen with Id 129
130,24,3,129,3,Some Random Commen with Id 130
131,25,9,97,4,Some Random Commen with Id 131
132,25,9,158,4,Some Random Commen with Id 132
133,25,9,132,1,Some Random Commen with Id 133
134,26,5,113,1,Some Random Commen with Id 134
135,26,5,82,3,Some Random Commen with Id 135
136,26,5,99,2,Some Random Commen with Id 136
137,26,5,70,4,Some Random Commen with Id 137
138,26,5,159,8,Some Random Commen with Id 138
139,27,5,175,6,Some Random Commen with Id 139
140,27,5,70,4,Some Random Commen with Id 140
141,27,5,197,1,Some Random Commen with Id 141
142,27,5,157,0,Some Random Commen with Id 142
143,27,5,115,4,Some Random Commen with Id 143
144,27,5,112,4,Some Random Commen with Id 144
145,27,5,15,3,Some Random Commen with Id 145
146,28,3,109,2,Some Random Commen with Id 146
147,28,3,16,7,Some Random Commen with Id 147
148,28,3,172,2,Some Random Commen with Id 148
149,28,3,153,6,Some Random Commen with Id 149
150,28,3,42,0,Some Random Commen with Id 150
151,28,3,3,7,Some Random Commen with Id 151
152,28,3,179,1,Some Random Commen with Id 152
153,28,3,34,4,Some Random Commen with Id 153
154,28,3,165,4,Some Random Commen with Id 154
155,29,7,199,8,Some Random Commen with Id 155
156,29,7,82,6,Some Random Commen with Id 156
157,29,7,127,7,Some Random Commen with Id 157
158,29,7,35,3,Some Random Commen with Id 158
159,29,7,59,6,Some Random Commen with Id 159
160,30,8,104,8,Some Random Commen with Id 160
161,30,8,5,9,Some Random Commen with Id 161
162,31,2,197,3,Some Random Commen with Id 162
163,32,1,5,1,Some Random Commen with Id 163
164,32,1,152,2,Some Random Commen with Id 164
165,32,1,43,2,Some Random Commen with Id 165
166,32,1,55,9,Some Random Commen with Id 166
167,32,1,42,1,Some Random Commen with Id 167
168,32,1,82,2,Some Random Commen with Id 168
169,32,1,118,3,Some Random Commen with Id 169
170,32,1,49,7,Some Random Commen with Id 170
171,33,5,98,1,Some Random Commen with Id 171
172,33,5,57,1,Some Random Commen with Id 172
173,33,5,114,7,Some Random Commen with Id 173
174,33,5,194,9,Some Random Commen with Id 174
175,34,4,121,0,Some Random Commen with Id 175
176,34,4,103,0,Some Random Commen with Id 176
177,35,8,185,8,Some Random Commen with Id 177
178,36,8,194,3,Some Random Commen with Id 178
179,36,8,4,4,Some Random Commen with Id 179
180,36,8,75,3,Some Random Commen with Id 180
181,36,8,156,1,Some Random Commen with Id 181
182,37,5,18,2,Some Random Commen with Id 182
183,37,5,86,4,Some Random Commen with Id 183
184,38,1,31,3,Some Random Commen with Id 184
185,38,1,68,5,Some Random Commen with Id 185
186,38,1,161,4,Some Random Commen with Id 186
187,38,1,170,7,Some Random Commen with Id 187
188,38,1,109,8,Some Random Commen with Id 188
189,38,1,151,1,Some Random Commen with Id 189
190,38,1,186,1,Some Random Commen with Id 190
191,38,1,92,8,Some Random Commen with Id 191
192,39,9,29,3,Some Random Commen with Id 192
193,39,9,37,5,Some Random Commen with Id 193
194,39,9,40,4,Some Random Commen with Id 194
195,39,9,159,6,Some Random Commen with Id 195
196,39,9,110,4,Some Random Commen with Id 196
197,39,9,117,7,Some Random Commen with Id 197
